Waterbody Name,Acres_Mile,Boat Launch Type,Boat Launch Owner,Amenities,Fish Species,Ice Fishing,Comments,Boat Launch Information,Waterbody Information,Contour Map of Waterbody,Special Regulations on Waterbody,County,Longitude,Latitude,Location
Amawalk Reservoir,610,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Black Crappie - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/amaresmap.pdf,http://www.dec.ny.gov/outdoor/31504.html,Westchester,-73.739604818,41.303340314,"(41.303340314, -73.739604818)"
Ashokan Reservoir,8315,None,None,,Brown Trout - Rainbow Trout - Smallmouth Bass,,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/ashresmap.pdf,http://www.dec.ny.gov/outdoor/31500.html,Ulster,-74.186644484,41.963301654,"(41.963301654, -74.186644484)"
Basic Creek Reservoir,239,None,None,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye - Common carp,,Shore fishing only - City of Albany permit required (518-434-5300),,,http://www.dec.ny.gov/docs/fish_marine_pdf/bsccrkreslkmap.pdf,http://www.dec.ny.gov/outdoor/31479.html,Albany,-74.016267601,42.483972536,"(42.483972536, -74.016267601)"
Big Pond,51,Hand Launch,DEC,Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,Site includes accessible features,,,http://www.dec.ny.gov/docs/fish_marine_pdf/bigpdlkmap.pdf,http://www.dec.ny.gov/outdoor/31440.html,Delaware,-74.723860035,42.046838384,"(42.046838384, -74.723860035)"
Bog Brook Reservoir,410,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Yellow Perch - Walleye - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/bogresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.585544633,41.415831946,"(41.415831946, -73.585544633)"
Boyd Corners Reservoir,214,None,None,,American Black Bass - Walleye,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/68037.html,http://www.dec.ny.gov/docs/fish_marine_pdf/bydresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.750140815,41.459037607,"(41.459037607, -73.750140815)"
Burden Lake,366,Hand Launch,Municipal,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/burlkmap.pdf,,Rensselear,-73.561435787,42.602095835,"(42.602095835, -73.561435787)"
Canadarago Lake,1894,Trailer Improved,OPRHP (State Parks) - Municipal,Fishing Pier,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,OPRHP permit required (Central Region 315-492-1756),http://www.dec.ny.gov/outdoor/23876.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/canlkmap.pdf,http://www.dec.ny.gov/outdoor/31477.html,Otsego,-75.002993321,42.817958147,"(42.817958147, -75.002993321)"
Cannonsville Reservoir,4800,None,None,,Brown Trout - Smallmouth Bass - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/cnnresmap.pdf,http://www.dec.ny.gov/outdoor/31440.html,Delaware,-75.318158349,42.088851062,"(42.088851062, -75.318158349)"
Canopus Lake,100,Trailer Unimproved,OPRHP (State Parks),Boat Rental - Campsites,American Black Bass - Chain Pickerel,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Taconic Region 845-889-4100),http://www.dec.ny.gov/outdoor/23875.html,http://www.dec.ny.gov/outdoor/68032.html,http://www.dec.ny.gov/docs/fish_marine_pdf/canplkmap.pdf,,Putnam,-73.832684936,41.462142964,"(41.462142964, -73.832684936)"
